Site,Round,High Seed in Game,Probability High Seed Wins,Date Recorded,Time Recorded,Result,Notes
FiveThirtyEight,1,URI,0.58,3/15,12:05,1,
FiveThirtyEight,1,Tenn,0.91,3/15,12:05,1,
FiveThirtyEight,1,Gonzaga,0.92,3/15,12:05,1,
FiveThirtyEight,1,Kansas,0.95,3/15,12:05,1,
FiveThirtyEight,1,Duke,0.96,3/15,12:05,1,
FiveThirtyEight,1,Miami,0.6,3/15,12:05,0,
FiveThirtyEight,1,Ohio St,0.77,3/15,12:05,1,
FiveThirtyEight,1,Seton Hall,0.63,3/15,12:05,1,
FiveThirtyEight,1,Villanova,0.98,3/15,12:05,1,
FiveThirtyEight,1,Kentucky,0.76,3/15,17:35,1,
FiveThirtyEight,1,Houston,0.72,3/15,17:35,1,
FiveThirtyEight,1,Texas Tech,0.89,3/15,17:35,1,
FiveThirtyEight,1,Va Tech,0.59,3/15,17:35,0,
FiveThirtyEight,1,Arizona,0.85,3/15,17:35,0,
FiveThirtyEight,1,Michigan,0.89,3/15,17:35,1,
FiveThirtyEight,1,Florida,0.72,3/15,17:35,1,
FiveThirtyEight,1,Texas A&M,0.58,3/16,10:41,1,
FiveThirtyEight,1,Purdue,0.98,3/16,10:41,1,
FiveThirtyEight,1,Wichita St,0.91,3/16,10:41,0,
FiveThirtyEight,1,Cincinatti,0.93,3/16,10:41,1,
FiveThirtyEight,1,UNC,0.96,3/16,10:41,1,
FiveThirtyEight,1,Arkansas,0.4,3/16,10:41,0,
FiveThirtyEight,1,W Virginia,0.84,3/16,10:41,1,
FiveThirtyEight,1,Nevada,0.4,3/16,10:41,1,
FiveThirtyEight,1,Creighton,0.58,3/16,10:41,0,
FiveThirtyEight,1,Michigan St,0.92,3/16,10:41,1,
FiveThirtyEight,1,Xavier,0.97,3/16,10:41,1,
FiveThirtyEight,1,Auburn,0.8,3/16,10:41,1,
FiveThirtyEight,1,UVA,0.98,3/16,10:41,0,
FiveThirtyEight,1,TCU,0.56,3/16,10:41,0,
FiveThirtyEight,1,Missouri,0.29,3/16,10:41,0,
FiveThirtyEight,1,Clemson,0.62,3/16,10:41,1,
FiveThirtyEight,2,Villanova,0.9,3/16,16:41,1,
FiveThirtyEight,2,Duke,0.84,3/16,16:41,1,
FiveThirtyEight,2,Kentucky,0.71,3/16,16:41,1,
FiveThirtyEight,2,Tenn,0.73,3/16,16:41,0,
FiveThirtyEight,2,Kansas,0.78,3/16,16:41,1,
FiveThirtyEight,2,Gonzaga,0.73,3/16,16:41,1,
FiveThirtyEight,2,Texas Tech,0.56,3/16,16:41,1,
FiveThirtyEight,2,Michigan,0.58,3/16,16:41,1,
FiveThirtyEight,2,Purdue,0.66,3/18,11:31,1,
FiveThirtyEight,2,Michigan St,0.83,3/18,11:31,0,
FiveThirtyEight,2,UNC,0.81,3/18,11:31,0,
FiveThirtyEight,2,Cincinatti,0.87,3/18,11:31,0,
FiveThirtyEight,2,Auburn,0.47,3/18,11:31,0,
FiveThirtyEight,2,Kansas St,0.72,3/18,11:31,1,
FiveThirtyEight,2,Xavier,0.71,3/18,11:31,0,
FiveThirtyEight,2,W Virginia,0.87,3/18,11:31,1,
FiveThirtyEight,3,Nevada,0.51,3/21,16:31,0,
FiveThirtyEight,3,Michigan,0.52,3/21,16:31,1,
FiveThirtyEight,3,Kentucky,0.71,3/21,16:31,0,
FiveThirtyEight,3,Gonzaga,0.72,3/21,16:31,0,
FiveThirtyEight,3,Kansas,0.73,3/21,16:31,1,
FiveThirtyEight,3,Villanova,0.7,3/21,16:31,1,
FiveThirtyEight,3,Duke,0.85,3/21,16:31,1,
FiveThirtyEight,3,Purdue,0.62,3/21,16:31,0,
FiveThirtyEight,4,Kansas St,0.66,3/24,17:05,0,
FiveThirtyEight,4,Michigan,0.67,3/24,17:05,1,
FiveThirtyEight,4,Villanova,0.83,3/24,17:05,1,
FiveThirtyEight,4,Kansas,0.46,3/24,17:05,1,
FiveThirtyEight,5,Michigan,0.69,3/30,10:55,1,
FiveThirtyEight,5,Villanova,0.64,3/30,10:55,1,
FiveThirtyEight,6,Villanova,0.64,4/1,14:55,1,
ESPN BPI,1,URI,0.59,3/15,12:05,1,
ESPN BPI,1,Tenn,0.915,3/15,12:05,1,
ESPN BPI,1,Gonzaga,0.894,3/15,12:05,1,
ESPN BPI,1,Kansas,0.93,3/15,12:05,1,
ESPN BPI,1,Duke,0.962,3/15,12:05,1,
ESPN BPI,1,Miami,0.573,3/15,12:05,0,
ESPN BPI,1,Ohio St,0.802,3/15,12:05,1,
ESPN BPI,1,Seton Hall,0.591,3/15,12:05,1,
ESPN BPI,1,Villanova,0.985,3/15,12:05,1,
ESPN BPI,1,Kentucky,0.597,3/15,17:35,1,
ESPN BPI,1,Houston,0.744,3/15,17:35,1,
ESPN BPI,1,Texas Tech,0.899,3/15,17:35,1,
ESPN BPI,1,Va Tech,0.634,3/15,17:35,0,
ESPN BPI,1,Arizona,0.799,3/15,17:35,0,
ESPN BPI,1,Michigan,0.894,3/15,17:35,1,
ESPN BPI,1,Florida,0.678,3/15,17:35,1,
ESPN BPI,1,Texas A&M,0.632,3/16,10:47,1,
ESPN BPI,1,Purdue,0.985,3/16,10:47,1,
ESPN BPI,1,Wichita St,0.926,3/16,10:47,0,
ESPN BPI,1,Cincinatti,0.945,3/16,10:47,1,
ESPN BPI,1,UNC,0.969,3/16,10:47,1,
ESPN BPI,1,Arkansas,0.416,3/16,10:47,0,
ESPN BPI,1,W Virginia,0.806,3/16,10:47,1,
ESPN BPI,1,Nevada,0.524,3/16,10:47,1,
ESPN BPI,1,Creighton,0.648,3/16,10:47,0,
ESPN BPI,1,Michigan St,0.915,3/16,10:47,1,
ESPN BPI,1,Xavier,0.976,3/16,10:47,1,
ESPN BPI,1,Auburn,0.882,3/16,10:47,1,
ESPN BPI,1,UVA,0.985,3/16,10:47,0,
ESPN BPI,1,TCU,0.647,3/16,10:47,0,
ESPN BPI,1,Missouri,0.461,3/16,10:47,0,
ESPN BPI,1,Clemson,0.74,3/16,10:47,1,
ESPN BPI,2,Villanova,0.932,3/16,16:41,1,
ESPN BPI,2,Duke,0.849,3/16,16:41,1,
ESPN BPI,2,Kentucky,0.76,3/16,16:41,1,
