Site,Round,Game,High Seed,Probability High Seed Wins,Date Recorded,Time Recorded,Results,Notes
FiveThirtyEight,1,1,Warriors,0.65,4/14,13:46,1,
FiveThirtyEight,1,1,Raptors,0.84,4/14,13:46,1,
FiveThirtyEight,1,1,76ers,0.82,4/14,13:46,1,
FiveThirtyEight,1,1,Trail Blazers,0.67,4/14,13:46,0,
FiveThirtyEight,1,1,Celtics,0.73,4/14,13:46,1,
FiveThirtyEight,1,1,Cavs,0.74,4/14,13:46,0,
FiveThirtyEight,1,1,Thunder,0.65,4/14,13:46,1,
FiveThirtyEight,1,1,Rockets,0.85,4/14,13:46,1,
FiveThirtyEight,1,2,76ers,0.83,4/16,19:09,0,
FiveThirtyEight,1,2,Warriors,0.67,4/16,19:09,1,
FiveThirtyEight,1,2,Raptors,0.85,4/17,17:33,1,
FiveThirtyEight,1,2,Celtics,0.74,4/17,17:33,1,
FiveThirtyEight,1,2,Trail Blazers,0.63,4/17,17:33,0,
FiveThirtyEight,1,2,Cavs,0.67,4/18,18:49,1,
FiveThirtyEight,1,2,Thunder,0.65,4/18,18:49,0,
FiveThirtyEight,1,2,Rockets,0.85,4/18,18:49,1,
FiveThirtyEight,1,3,76ers,0.56,4/19,17:49,1,
FiveThirtyEight,1,3,Trail Blazers,0.34,4/19,17:49,0,
FiveThirtyEight,1,3,Warriors,0.42,4/19,17:49,1,
FiveThirtyEight,1,3,Cavs,0.41,4/20,17:51,0,
FiveThirtyEight,1,3,Raptors,0.66,4/20,17:51,0,
FiveThirtyEight,1,3,Celtics,0.5,4/20,17:51,0,
FiveThirtyEight,1,4,76ers,0.6,4/21,11:47,1,
FiveThirtyEight,1,4,Trail Blazers,0.32,4/21,11:47,0,
FiveThirtyEight,1,3,Rockets,0.66,4/21,11:47,0,
FiveThirtyEight,1,3,Thunder,0.3,4/21,11:47,0,
FiveThirtyEight,1,4,Celtics,0.45,4/22,10:10,0,
FiveThirtyEight,1,4,Warriors,0.47,4/22,10:10,0,
FiveThirtyEight,1,4,Raptors,0.6,4/22,10:10,0,
FiveThirtyEight,1,4,Cavs,0.4,4/22,10:10,1,
FiveThirtyEight,1,4,Rockets,0.61,4/23,17:05,1,
FiveThirtyEight,1,4,Thunder,0.28,4/23,17:05,0,
FiveThirtyEight,1,5,Celtics,0.7,4/24,18:55,1,
FiveThirtyEight,1,5,76ers,0.82,4/24,22:26,1,
FiveThirtyEight,1,5,Warriors,0.7,4/24,22:26,1,
FiveThirtyEight,1,5,Cavs,0.69,4/25,18:17,1,
FiveThirtyEight,1,5,Raptors,0.79,4/25,18:17,1,
