Site,Round,High Seed in Game,Probability High Seed Wins,Date Recorded,Time Recorded,Result,Notes
FiveThirtyEight,1,URI,0.58,15-Mar,12:05,1,
FiveThirtyEight,1,Tenn,0.91,15-Mar,12:05,1,
FiveThirtyEight,1,Gonzaga,0.92,15-Mar,12:05,1,
FiveThirtyEight,1,Kansas,0.95,15-Mar,12:05,1,
FiveThirtyEight,1,Duke,0.96,15-Mar,12:05,1,
FiveThirtyEight,1,Miami,0.6,15-Mar,12:05,0,
FiveThirtyEight,1,Ohio St,0.77,15-Mar,12:05,1,
FiveThirtyEight,1,Seton Hall,0.63,15-Mar,12:05,1,
FiveThirtyEight,1,Villanova,0.98,15-Mar,12:05,1,
FiveThirtyEight,1,Kentucky,0.76,15-Mar,17:35,1,
FiveThirtyEight,1,Houston,0.72,15-Mar,17:35,1,
FiveThirtyEight,1,Texas Tech,0.89,15-Mar,17:35,1,
FiveThirtyEight,1,Va Tech,0.59,15-Mar,17:35,0,
FiveThirtyEight,1,Arizona,0.85,15-Mar,17:35,0,
FiveThirtyEight,1,Michigan,0.89,15-Mar,17:35,1,
FiveThirtyEight,1,Florida,0.72,15-Mar,17:35,1,
FiveThirtyEight,1,Texas A&M,0.58,16-Mar,10:41,1,
FiveThirtyEight,1,Purdue,0.98,16-Mar,10:41,1,
FiveThirtyEight,1,Wichita St,0.91,16-Mar,10:41,0,
FiveThirtyEight,1,Cincinatti,0.93,16-Mar,10:41,1,
FiveThirtyEight,1,UNC,0.96,16-Mar,10:41,1,
FiveThirtyEight,1,Arkansas,0.4,16-Mar,10:41,0,
FiveThirtyEight,1,W Virginia,0.84,16-Mar,10:41,1,
FiveThirtyEight,1,Nevada,0.4,16-Mar,10:41,1,
FiveThirtyEight,1,Creighton,0.58,16-Mar,10:41,0,
FiveThirtyEight,1,Michigan St,0.92,16-Mar,10:41,1,
FiveThirtyEight,1,Xavier,0.97,16-Mar,10:41,1,
FiveThirtyEight,1,Auburn,0.8,16-Mar,10:41,1,
FiveThirtyEight,1,UVA,0.98,16-Mar,10:41,0,
FiveThirtyEight,1,TCU,0.56,16-Mar,10:41,0,
FiveThirtyEight,1,Missouri,0.29,16-Mar,10:41,0,
FiveThirtyEight,1,Clemson,0.62,16-Mar,10:41,1,
FiveThirtyEight,2,Villanova,0.9,16-Mar,16:41,1,
FiveThirtyEight,2,Duke,0.84,16-Mar,16:41,1,
FiveThirtyEight,2,Kentucky,0.71,16-Mar,16:41,1,
FiveThirtyEight,2,Tenn,0.73,16-Mar,16:41,0,
FiveThirtyEight,2,Kansas,0.78,16-Mar,16:41,1,
FiveThirtyEight,2,Gonzaga,0.73,16-Mar,16:41,1,
FiveThirtyEight,2,Texas Tech,0.56,16-Mar,16:41,1,
FiveThirtyEight,2,Michigan,0.58,16-Mar,16:41,1,
FiveThirtyEight,2,Purdue,0.66,18-Mar,11:31,1,
FiveThirtyEight,2,Michigan St,0.83,18-Mar,11:31,0,
FiveThirtyEight,2,UNC,0.81,18-Mar,11:31,0,
FiveThirtyEight,2,Cincinatti,0.87,18-Mar,11:31,0,
FiveThirtyEight,2,Auburn,0.47,18-Mar,11:31,0,
FiveThirtyEight,2,Kansas St,0.72,18-Mar,11:31,1,
FiveThirtyEight,2,Xavier,0.71,18-Mar,11:31,0,
FiveThirtyEight,2,W Virginia,0.87,18-Mar,11:31,1,
FiveThirtyEight,3,Nevada,0.51,21-Mar,16:31,0,
FiveThirtyEight,3,Michigan,0.52,21-Mar,16:31,1,
FiveThirtyEight,3,Kentucky,0.71,21-Mar,16:31,0,
FiveThirtyEight,3,Gonzaga,0.72,21-Mar,16:31,0,
FiveThirtyEight,3,Kansas,0.73,21-Mar,16:31,1,
FiveThirtyEight,3,Villanova,0.7,21-Mar,16:31,1,
FiveThirtyEight,3,Duke,0.85,21-Mar,16:31,1,
FiveThirtyEight,3,Purdue,0.62,21-Mar,16:31,0,
FiveThirtyEight,4,Kansas St,0.66,24-Mar,17:05,0,
FiveThirtyEight,4,Michigan,0.67,24-Mar,17:05,1,
FiveThirtyEight,4,Villanova,0.83,24-Mar,17:05,1,
FiveThirtyEight,4,Kansas,0.46,24-Mar,17:05,1,
FiveThirtyEight,5,Michigan,0.69,30-Mar,10:55,1,
FiveThirtyEight,5,Villanova,0.64,30-Mar,10:55,1,
FiveThirtyEight,6,Villanova,0.64,1-Apr,14:55,1,
