Site,Round,High Seed in Game,Probability High Seed Wins,Date Recorded,Time Recorded,Result,Notes
FiveThirtyEight,1,Depaul,0.6,3/16,11:28,1,
FiveThirtyEight,1,Lousville,0.99508,3/16,11:28,1,
FiveThirtyEight,1,Oregon St,0.75,3/16,11:28,1,
FiveThirtyEight,1,Maryland,0.82,3/16,11:28,1,
FiveThirtyEight,1,Texas A&M,0.88,3/16,11:28,1,
FiveThirtyEight,1,Marquette,0.71,3/16,11:28,1,
FiveThirtyEight,1,Tenn,0.98,3/16,11:28,1,
FiveThirtyEight,1,NC State,0.81,3/16,11:28,1,
FiveThirtyEight,1,Cal,0.53,3/16,16:13,0,
FiveThirtyEight,1,Notre Dame,0.99878,3/16,16:13,1,
FiveThirtyEight,1,Green Bay,0.65,3/16,16:13,0,
FiveThirtyEight,1,Michigan,0.81,3/16,16:13,1,
FiveThirtyEight,1,S Carolina,0.99595,3/16,16:13,1,
FiveThirtyEight,1,S Dakota St,0.61,3/16,16:13,0,
FiveThirtyEight,1,Oregon,0.99657,3/16,16:13,1,
FiveThirtyEight,1,Baylor,0.99972,3/16,16:13,1,
FiveThirtyEight,1,UConn,0.99977,3/16,16:19,1,
FiveThirtyEight,1,Duke,0.79,3/16,16:19,1,
FiveThirtyEight,1,Florida St,0.97,3/16,16:19,1,
FiveThirtyEight,1,LSU,0.52,3/16,16:19,0,
FiveThirtyEight,1,Miami,0.55,3/16,16:19,0,
FiveThirtyEight,1,Georgia,0.79,3/16,16:19,1,
FiveThirtyEight,1,S Florida,0.8,3/16,16:19,0,
FiveThirtyEight,1,Ohio St,0.97,3/16,16:19,1,
FiveThirtyEight,1,Missouri,0.8,3/16,16:19,0,
FiveThirtyEight,1,Syracuse,0.37,3/16,16:19,0,
FiveThirtyEight,1,UCLA,0.99123,3/16,16:19,1,
FiveThirtyEight,1,Arizona St,0.76,3/16,16:19,1,
FiveThirtyEight,1,Stanford,0.89,3/16,16:19,1,
FiveThirtyEight,1,Miss St,0.99921,3/16,16:19,1,
FiveThirtyEight,1,Iowa,0.66,3/16,16:19,0,
FiveThirtyEight,1,Texas,0.99246,3/16,16:19,1,
FiveThirtyEight,2,Lousville,0.91,3/18,11:52,1,
FiveThirtyEight,2,Texas A&M,0.59,3/18,11:52,1,
FiveThirtyEight,2,Tenn,0.76,3/18,11:52,0,
FiveThirtyEight,2,NC State,0.52,3/18,11:52,1,
FiveThirtyEight,2,Notre Dame,0.96,3/18,11:52,1,
FiveThirtyEight,2,Baylor,0.97,3/18,11:52,1,
FiveThirtyEight,2,S Carolina,0.92,3/18,11:52,1,
FiveThirtyEight,2,Oregon,0.95,3/18,11:52,1,
FiveThirtyEight,2,UConn,0.99741,3/19,16:53,1,
FiveThirtyEight,2,Georgia,0.47,3/19,16:53,0,
FiveThirtyEight,2,Florida St,0.91,3/19,16:53,0,
FiveThirtyEight,2,Ohio St,0.92,3/19,16:53,0,
FiveThirtyEight,2,Stanford,0.94,3/19,16:53,1,
FiveThirtyEight,2,Miss St,0.94,3/19,16:53,1,
FiveThirtyEight,2,UCLA,0.93,3/19,16:53,1,
FiveThirtyEight,2,Texas,0.9,3/19,16:53,1,
FiveThirtyEight,3,Baylor,0.9,3/23,12:46,0,
FiveThirtyEight,3,Miss St,0.88,3/23,12:46,1,
FiveThirtyEight,3,Lousville,0.87,3/23,12:46,1,
FiveThirtyEight,3,Texas,0.7,3/23,12:46,0,
FiveThirtyEight,3,S Carolina,0.75,3/23,12:46,1,
FiveThirtyEight,3,UConn,0.98,3/23,12:46,1,
FiveThirtyEight,3,Notre Dame,0.85,3/23,12:46,1,
FiveThirtyEight,3,Oregon,0.93,3/23,12:46,1,
FiveThirtyEight,4,Lousville,0.84,3/24,17:37,1,
FiveThirtyEight,4,Miss St,0.78,3/24,17:37,1,
FiveThirtyEight,4,UConn,0.96,3/24,17:37,1,
FiveThirtyEight,4,Notre Dame,0.44,3/24,20:34,1,
FiveThirtyEight,5,UConn,0.89,3/30,11:09,0,
FiveThirtyEight,5,Miss St,0.46,3/30,11:09,1,
FiveThirtyEight,6,Miss St,0.55,4/1,15:00,0,
ESPN BPI,1,Depaul,0.75,3/16,11:28,1,
